epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
31,575.461,1.42359,3.63494,1.40849,1.77012,0.59987,0.73454,0.76316,0.39785,0.55061,0.69038,0.69675,0.30386,1.48832,2.78426,1.44645,1.94342,0.00397049,0.00397049,0.00397049
32,611.597,1.40237,3.57007,1.40591,1.759,0.74039,0.74519,0.82103,0.41731,0.66603,0.65439,0.68598,0.30996,1.63486,2.75254,1.43343,2.07069,0.0039063,0.0039063,0.0039063
33,633.482,1.42095,3.49079,1.3546,1.75205,0.70323,0.72921,0.81651,0.42638,0.65086,0.73387,0.72264,0.31764,1.60576,2.84791,1.82191,2.04748,0.00384073,0.00384073,0.00384073
34,652.374,1.39291,3.49035,1.33701,1.74,0.80697,0.70545,0.81515,0.42634,0.68581,0.64261,0.68053,0.3045,1.59244,2.89037,1.62064,2.01553,0.00377383,0.00377383,0.00377383
35,673.399,1.35866,3.49256,1.30232,1.72899,0.75099,0.67271,0.79163,0.41108,0.70505,0.64121,0.68726,0.30578,1.6155,3.05021,1.74474,2.04692,0.00370568,0.00370568,0.00370568
36,693.428,1.37306,3.59772,1.38046,1.73743,0.69489,0.82007,0.81642,0.4607,0.67636,0.75303,0.72476,0.34745,1.50726,2.96615,1.39353,1.91528,0.00363634,0.00363634,0.00363634
37,711.083,1.34861,3.51283,1.35615,1.72764,0.73325,0.75402,0.81412,0.44885,0.69804,0.74894,0.74631,0.3664,1.53952,2.81084,1.76533,1.91876,0.00356588,0.00356588,0.00356588
38,736.477,1.32758,3.45405,1.31789,1.70826,0.69841,0.7582,0.80491,0.41689,0.62881,0.69101,0.6849,0.32523,1.53228,2.82406,1.63349,1.94891,0.00349438,0.00349438,0.00349438
39,752.746,1.31477,3.39721,1.26487,1.68777,0.73165,0.80157,0.78653,0.44272,0.68597,0.69967,0.70768,0.33151,1.50388,2.94679,1.27385,1.90538,0.00342189,0.00342189,0.00342189
40,767.741,1.34197,3.40742,1.28096,1.7004,0.81233,0.7925,0.86954,0.4747,0.82032,0.70959,0.77811,0.38419,1.43987,2.62495,1.24526,1.85639,0.0033485,0.0033485,0.0033485
41,784.27,1.35094,3.46529,1.33423,1.72699,0.74778,0.81459,0.8186,0.45908,0.69636,0.75044,0.73911,0.36322,1.48575,2.73516,1.3069,1.86285,0.00327427,0.00327427,0.00327427
42,801.358,1.33301,3.41304,1.3029,1.69312,0.78385,0.77422,0.83714,0.47574,0.74323,0.71496,0.76016,0.36203,1.53786,2.90444,1.57223,1.97814,0.00319928,0.00319928,0.00319928
43,816.836,1.30029,3.36501,1.29249,1.6742,0.7551,0.77406,0.84418,0.47745,0.70257,0.75088,0.78209,0.38196,1.51115,2.61165,1.28128,1.93873,0.0031236,0.0031236,0.0031236
44,832.972,1.33998,3.53414,1.293,1.71757,0.8219,0.77405,0.84331,0.4656,0.81548,0.7244,0.76229,0.37155,1.5586,2.80389,1.42627,1.96295,0.00304731,0.00304731,0.00304731
45,849.407,1.3408,3.42973,1.2826,1.7119,0.84606,0.74727,0.8645,0.4916,0.76427,0.69923,0.75258,0.3762,1.55303,2.86068,1.32021,1.93983,0.00297048,0.00297048,0.00297048
46,865.78,1.38349,3.46522,1.30156,1.71816,0.84361,0.73974,0.84427,0.49294,0.76328,0.67824,0.73741,0.38513,1.38131,2.82319,1.67801,1.79145,0.0028932,0.0028932,0.0028932
47,880.875,1.35232,3.38285,1.27274,1.71492,0.83712,0.7884,0.8532,0.52614,0.78038,0.7633,0.78886,0.40174,1.34682,2.66261,1.30291,1.72698,0.00281552,0.00281552,0.00281552
48,896.326,1.27872,3.33398,1.25592,1.66714,0.8075,0.76845,0.85979,0.48764,0.77114,0.73727,0.78865,0.40086,1.44845,2.51766,1.23724,1.81175,0.00273754,0.00273754,0.00273754
49,911.711,1.27677,3.34845,1.23402,1.67103,0.83782,0.75616,0.85414,0.48089,0.79847,0.71826,0.77228,0.42264,1.48103,2.54726,1.23129,1.88157,0.00265932,0.00265932,0.00265932
50,926.506,1.30172,3.32121,1.23689,1.66889,0.86226,0.78846,0.88377,0.55186,0.8046,0.76032,0.80825,0.42446,1.29092,2.45875,1.05354,1.74657,0.00258095,0.00258095,0.00258095
51,941.852,1.23908,3.34902,1.1719,1.64797,0.79682,0.74959,0.85336,0.46024,0.75866,0.70928,0.7832,0.39611,1.53373,2.69129,1.27656,1.89419,0.0025025,0.0025025,0.0025025
52,956.783,1.29384,3.3691,1.22604,1.66534,0.71687,0.71745,0.81378,0.45651,0.71574,0.66419,0.75384,0.36082,1.51284,2.80791,1.28857,1.855,0.00242405,0.00242405,0.00242405
53,975.447,1.27912,3.33248,1.17866,1.65056,0.8189,0.81156,0.87707,0.50553,0.77747,0.75342,0.78485,0.38953,1.44867,2.6617,1.32839,1.83096,0.00234568,0.00234568,0.00234568
54,991.715,1.26658,3.22048,1.16551,1.6524,0.94908,0.75424,0.89535,0.55149,0.91166,0.72228,0.81766,0.43093,1.41231,2.49942,1.26087,1.82289,0.00226746,0.00226746,0.00226746
55,1008.09,1.25987,3.26885,1.18898,1.65644,0.86628,0.77497,0.87597,0.52095,0.82,0.73484,0.8053,0.42415,1.48458,2.53567,1.17259,1.86972,0.00218948,0.00218948,0.00218948
56,1028.31,1.25049,3.20216,1.15174,1.62387,0.83403,0.79727,0.85361,0.50404,0.8112,0.75278,0.79325,0.42262,1.42278,2.55379,1.35298,1.791,0.0021118,0.0021118,0.0021118
